function,decomposed_baseline,baseline_pyzx,decomposed_factorized,factorized_pyzx,baseline_qubits,factorized_qubits,baseline_gates,factorized_gates,baseline_basic_gates,factorized_basic_gates,baseline_pyzx_qubits,factorized_pyzx_qubits,baseline_pyzx_gates,factorized_pyzx_gates,baseline_pyzx_seconds,factorized_pyzx_seconds
4gt10_22,42,28.0,49,35.0,9,9,8,15,92,113,9.0,9.0,144.0,174.0,0.8786013126373291,0.9586014747619628
4mod5_8,28,8.0,14,8.0,7,7,12,26,68,54,7.0,7.0,65.0,73.0,0.7800698280334473,0.7941339015960693
6sym,588,340.0,434,260.0,45,31,145,147,1321,1015,45.0,31.0,1818.0,1399.0,8.937776803970337,10.450553178787231
9sym_d_100,4207,,3346,,287,199,974,917,9388,7609,,,,,600.0207319259644,600.0132088661194
adder4_bit3,189,111.0,126,78.0,21,15,49,64,427,316,21.0,15.0,576.0,466.0,1.561187744140625,1.1330854892730713
adder4_bit4,581,335.0,434,256.0,45,31,135,162,1297,1030,45.0,31.0,1825.0,1418.0,10.059550523757936,7.637044668197632
adder5_bit4,581,335.0,434,256.0,47,33,137,164,1299,1032,47.0,33.0,1753.0,1407.0,11.174001932144163,5.717875003814697
adder5_bit5,1589,911.0,1274,738.0,111,81,343,410,3521,2958,111.0,81.0,4580.0,4019.0,233.56659507751465,89.83980894088745
alu_9,56,32.0,49,31.0,10,9,24,33,136,131,10.0,9.0,195.0,188.0,0.8842604160308838,0.8945550918579102
con1f1_100,133,75.0,119,73.0,17,13,31,33,297,271,17.0,13.0,400.0,402.0,1.4587671756744385,1.348111867904663
con2f2_100,77,47.0,70,36.0,14,12,24,27,178,167,14.0,12.0,245.0,203.0,1.111884593963623,1.1196343898773191
eosops1_100,84,48.0,70,40.0,12,10,12,14,180,154,12.0,10.0,246.0,199.0,1.0891318321228027,0.995743989944458
exam1_d_100,0,0.0,0,0.0,6,6,5,5,5,5,6.0,6.0,6.0,6.0,0.746065616607666,0.7379415035247803
exam3_d_100,49,31.0,42,28.0,9,8,15,18,113,102,9.0,8.0,158.0,168.0,0.9836418628692628,0.9981293678283693
life_d_100,3472,,2681,,235,150,922,799,7866,6161,,,,,600.0080819129944,600.0116667747498
majority11,16891,,14119,,1118,796,3966,3909,37748,32147,,,,,600.0193552970886,600.0140287876129
majority7,945,543.0,763,429.0,67,37,219,251,2109,1777,67.0,37.0,2687.0,2164.0,31.065258741378784,14.740057468414308
majority_176,140,84.0,98,64.0,16,12,37,43,317,239,16.0,12.0,441.0,316.0,1.175704002380371,0.9672613143920898
max46_d_100,3360,,2891,,231,166,776,785,7496,6567,,,,,600.018205165863,600.0217537879944
mux_185,1008,576.0,840,436.0,88,56,208,200,2224,1880,88.0,56.0,2836.0,2440.0,81.08428001403809,29.183464288711548
newill_d_100,420,240.0,413,251.0,38,33,101,118,941,944,38.0,33.0,1219.0,1270.0,4.77676796913147,5.052959680557251
newtag_d_100,252,148.0,224,142.0,27,23,59,67,563,515,27.0,23.0,774.0,719.0,2.167111158370972,2.0408079624176025
rd53f1_100,175,103.0,133,81.0,18,14,33,39,383,305,18.0,14.0,530.0,438.0,1.5359845161437988,1.0412180423736572
rd53f2_100,112,56.0,91,43.0,12,9,32,47,256,229,12.0,9.0,333.0,271.0,1.3278586864471436,1.0421946048736572
rd53f3_100,0,0.0,0,0.0,8,8,13,13,13,13,8.0,8.0,7.0,7.0,0.789229154586792,0.7488076686859131
rd73f1_100,273,151.0,224,98.0,22,11,79,114,625,562,22.0,11.0,856.0,610.0,2.622051954269409,2.5224833488464355
rd73f2_100,0,0.0,0,0.0,10,10,19,19,19,19,10.0,10.0,9.0,9.0,0.8984470367431641,0.8932907581329346
rd73f3_100,945,543.0,763,429.0,67,37,219,251,2109,1777,67.0,37.0,2687.0,2164.0,53.9684329032898,22.458491802215576
rd84f1_100,343,199.0,273,127.0,25,12,109,163,795,709,25.0,12.0,1290.0,780.0,2.722122430801392,2.514756202697754
rd84f2_100,0,0.0,0,0.0,11,11,24,24,24,24,11.0,11.0,10.0,10.0,0.863502025604248,0.7308063507080078
rd84f3_100,91,55.0,91,55.0,17,17,13,13,195,195,17.0,17.0,294.0,294.0,0.940546989440918,0.924511194229126
rd84f4_100,2023,1159.0,1624,932.0,138,90,546,533,4592,3781,138.0,90.0,5768.0,4738.0,502.59795689582825,160.0477271080017
ryy6_198,3759,,2156,,268,143,634,396,8152,4708,,,,,600.0144741535187,600.0130224227905
sao2f1_100,910,520.0,945,557.0,73,69,210,251,2030,2141,73.0,69.0,2554.0,3060.0,51.00184988975525,70.87403082847595
sao2f2_100,1148,656.0,1022,580.0,89,69,268,282,2564,2326,89.0,69.0,3232.0,3117.0,117.63869142532349,76.15325045585632
sao2f3_100,1078,616.0,875,497.0,84,62,261,231,2417,1981,84.0,62.0,2974.0,2513.0,83.26147627830505,46.24117660522461
sao2f4_100,1015,583.0,896,534.0,80,68,231,228,2261,2020,80.0,68.0,2829.0,2687.0,121.98698329925536,70.25532793998718
sf_232,49,31.0,49,31.0,9,8,16,19,114,117,9.0,8.0,171.0,169.0,0.9982821941375732,0.970878839492798
shor_modexp_7_mod15_bit0,7,7.0,7,7.0,11,11,4,4,18,18,11.0,11.0,37.0,37.0,0.7390038967132568,0.6999108791351318
shor_modexp_7_mod15_bit1,7,7.0,7,7.0,11,11,3,3,17,17,11.0,11.0,38.0,38.0,0.828054666519165,0.7070839405059814
sym10_d_100,7364,,6139,,498,358,1879,1744,16607,14022,,,,,600.0183882713318,600.0209231376648
t481_d_100,308,184.0,238,112.0,35,23,85,91,701,567,35.0,23.0,962.0,679.0,3.0460336208343506,2.5376505851745605
xor5_d_100,0,0.0,0,0.0,8,8,13,13,13,13,8.0,8.0,7.0,7.0,0.7321808338165283,0.771376371383667
xor8,77,47.0,133,83.0,16,19,37,48,191,314,16.0,19.0,267.0,441.0,1.1372487545013428,1.2057480812072754
z42,308,180.0,301,189.0,29,27,89,100,705,702,29.0,27.0,908.0,979.0,3.013089895248413,3.033935308456421
